Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,94.12999725341797,95.0,93.05000305175781,93.26000213623047,70.27787017822266,6019700
2015-01-05,93.30000305175781,93.68000030517578,92.22000122070312,92.2300033569336,69.50171661376953,6211900
2015-01-06,92.66999816894531,93.80999755859375,91.87999725341797,92.4000015258789,69.62980651855469,6484100
2015-01-07,93.26000213623047,94.05000305175781,92.86000061035156,94.01000213623047,70.84305572509766,6400300
2015-01-08,94.2300033569336,94.9800033569336,94.05000305175781,94.36000061035156,71.10681915283203,5476700
2015-01-09,93.97000122070312,93.97000122070312,92.77999877929688,93.20999908447266,70.24021911621094,4283300
2015-01-12,93.52999877929688,93.80999755859375,92.5999984741211,93.01000213623047,70.08948516845703,3989600
2015-01-13,93.94999694824219,94.44000244140625,92.41999816894531,92.83000183105469,69.95384216308594,5971200
2015-01-14,91.44999694824219,92.05000305175781,91.12000274658203,91.54000091552734,68.98176574707031,7745500
2015-01-15,91.97000122070312,92.3499984741211,90.97000122070312,91.37999725341797,68.8611831665039,5737500
2015-01-16,91.05000305175781,91.69000244140625,90.73999786376953,91.48999786376953,68.94408416748047,6927000
2015-01-20,91.63999938964844,91.87999725341797,90.2300033569336,90.80000305175781,68.42411041259766,6967300
2015-01-21,90.16000366210938,90.45999908447266,89.54000091552734,90.33999633789062,68.07743072509766,8682200
2015-01-22,90.62000274658203,90.97000122070312,89.83999633789062,90.88999938964844,68.49191284179688,7536400
2015-01-23,90.91999816894531,91.63999938964844,89.43000030517578,89.55999755859375,67.48966979980469,11496000
2015-01-26,89.38999938964844,90.69999694824219,89.29000091552734,90.66999816894531,68.32616424560547,7753300
2015-01-27,89.95999908447266,90.30999755859375,89.55999755859375,89.56999969482422,67.4971923828125,6640800
2015-01-28,89.73999786376953,89.81999969482422,88.7699966430664,88.77999877929688,66.90189361572266,6921300
2015-01-29,91.5,93.5,91.26000213623047,93.2699966430664,70.285400390625,19146900
2015-01-30,92.6500015258789,93.30000305175781,92.30999755859375,92.44000244140625,69.65995788574219,12385400
2015-02-02,92.05000305175781,92.66000366210938,91.43000030517578,92.51000213623047,69.71269989013672,6751400
2015-02-03,92.63999938964844,93.9800033569336,92.44999694824219,93.91999816894531,70.7752456665039,7373000
2015-02-04,93.5,94.43000030517578,93.5,94.05000305175781,70.87320709228516,6464800
2015-02-05,94.0999984741211,94.83000183105469,94.0,94.33999633789062,71.09174346923828,5564100
2015-02-06,94.1500015258789,94.4800033569336,93.6500015258789,93.98999786376953,70.82798767089844,4662700
2015-02-09,93.30000305175781,93.44999694824219,92.54000091552734,92.72000122070312,69.87095642089844,8203000
2015-02-10,93.33000183105469,94.2300033569336,92.97000122070312,94.0199966430664,70.85059356689453,4697600
2015-02-11,94.16000366210938,94.33000183105469,93.30000305175781,94.20999908447266,70.9937515258789,5153900
2015-02-12,94.05000305175781,95.5999984741211,93.7699966430664,95.08999633789062,71.65689849853516,7910100
2015-02-13,95.4000015258789,95.8499984741211,94.93000030517578,95.6500015258789,72.07894134521484,6762200
2015-02-17,95.12000274658203,95.38999938964844,94.08999633789062,94.3499984741211,71.09927368164062,5972000
2015-02-18,94.2300033569336,94.79000091552734,94.0,94.58000183105469,71.2725830078125,5617500
2015-02-19,94.5,94.55000305175781,93.73999786376953,94.19000244140625,70.97869110107422,6312200
2015-02-20,94.16000366210938,94.48999786376953,93.55999755859375,94.19000244140625,70.97869110107422,8155000
2015-02-23,94.12000274658203,94.41000366210938,93.94999694824219,94.30999755859375,71.0691146850586,5682000
2015-02-24,94.08000183105469,95.33000183105469,93.69000244140625,94.9800033569336,71.57402801513672,5643600
2015-02-25,94.91000366210938,99.30999755859375,94.86000061035156,98.66000366210938,74.34716033935547,16751600
2015-02-26,97.43000030517578,99.87999725341797,97.0,99.51000213623047,75.63935852050781,16098800
2015-02-27,99.16999816894531,99.30000305175781,98.48999786376953,98.9000015258789,75.17567443847656,7552500
2015-03-02,98.9000015258789,101.08999633789062,98.30999755859375,100.0,76.01181030273438,12363300
2015-03-03,99.97000122070312,100.44000244140625,99.55000305175781,99.73999786376953,75.8141860961914,8149700
2015-03-04,99.80999755859375,100.4800033569336,99.18000030517578,100.25,76.20182037353516,9179400
2015-03-05,99.01000213623047,99.91999816894531,98.45999908447266,99.11000061035156,75.33529663085938,9438800
2015-03-06,98.2699966430664,98.98999786376953,96.95999908447266,97.12999725341797,73.83027648925781,9677900
2015-03-09,96.80999755859375,98.25,96.80999755859375,97.70999908447266,74.27115631103516,8460300
2015-03-10,96.91000366210938,97.12000274658203,96.0999984741211,96.29000091552734,73.19178009033203,7838900
2015-03-11,96.30000305175781,96.7699966430664,94.94000244140625,94.95999908447266,72.18081665039062,9391100
2015-03-12,95.41999816894531,96.44000244140625,95.27999877929688,96.25,73.1613540649414,8765100
2015-03-13,96.23999786376953,97.05000305175781,95.75,96.3499984741211,73.23737335205078,5152800
