Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,170.12496948242188,121465900
2015-01-05,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,167.05264282226562,169632600
2015-01-06,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,165.4790802001953,209151400
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,167.54119873046875,125346700
2015-01-08,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,170.5142059326172,147217800
2015-01-09,206.39999389648438,206.4199981689453,203.50999450683594,204.25,169.1478271484375,158567300
2015-01-12,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,167.82278442382812,144396100
2015-01-13,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,167.3507537841797,214553300
2015-01-14,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,166.3404083251953,192991100
2015-01-15,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,164.81666564941406,176613900
2015-01-16,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,166.9780731201172,211879600
2015-01-20,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,167.33419799804688,130991100
2015-01-21,201.5,203.66000366210938,200.94000244140625,203.0800018310547,168.1788787841797,122942700
2015-01-22,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,170.6798858642578,174356000
2015-01-23,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,169.7440948486328,117516800
2015-01-26,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,170.14158630371094,92009700
2015-01-27,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,167.89727783203125,134044600
2015-01-28,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,165.74412536621094,168514300
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,167.27618408203125,173585400
2015-01-30,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,165.1727294921875,197729700
2015-02-02,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,167.21823120117188,163107000
2015-02-03,203.0,204.85000610351562,202.5500030517578,204.83999633789062,169.63638305664062,124212900
2015-02-04,203.9199981689453,205.3800048828125,203.50999450683594,204.05999755859375,168.99044799804688,134306700
2015-02-05,204.86000061035156,206.3000030517578,204.77000427246094,206.1199951171875,170.6964874267578,97953200
2015-02-06,206.55999755859375,207.24000549316406,204.9199981689453,205.5500030517578,170.2244110107422,125672000
2015-02-09,204.77000427246094,205.63999938964844,204.13999938964844,204.6300048828125,169.46246337890625,87219000
2015-02-10,205.8800048828125,207.1199951171875,204.67999267578125,206.80999755859375,171.2678680419922,96164200
2015-02-11,206.61000061035156,207.4499969482422,205.8300018310547,206.92999267578125,171.3672332763672,91087800
2015-02-12,207.88999938964844,208.99000549316406,206.97000122070312,208.9199981689453,173.01527404785156,97545900
2015-02-13,209.07000732421875,209.83999633789062,208.75999450683594,209.77999877929688,173.72738647460938,93670400
2015-02-17,209.39999389648438,210.32000732421875,209.10000610351562,210.11000061035156,174.000732421875,76968200
2015-02-18,209.66000366210938,210.22000122070312,209.33999633789062,210.1300048828125,174.0172576904297,80652900
2015-02-19,209.41000366210938,210.4199981689453,209.24000549316406,209.97999572753906,173.8930206298828,91462500
2015-02-20,209.47999572753906,211.3300018310547,208.72999572753906,211.24000549316406,174.93649291992188,140896400
2015-02-23,210.94000244140625,211.2100067138672,210.47999572753906,211.2100067138672,174.9116668701172,74411100
2015-02-24,211.1199951171875,212.0500030517578,210.75999450683594,211.80999755859375,175.40855407714844,72472300
2015-02-25,211.66000366210938,212.24000549316406,211.22000122070312,211.6300048828125,175.25949096679688,73061700
2015-02-26,211.52000427246094,211.7100067138672,210.64999389648438,211.3800048828125,175.05242919921875,72697900
2015-02-27,211.25999450683594,211.5800018310547,210.60000610351562,210.66000366210938,174.45616149902344,108076000
2015-03-02,210.77999877929688,212.05999755859375,210.72000122070312,211.99000549316406,175.55764770507812,87491400
